applicant_id,age,mothly_income,investment_income,savings_account_balance,checking_account_balance,credit_card_balance,other_loans_balance,loan_amount_requested,installment,loan_date,loan_purpose,state,city,credit_score,loan_amount,interest_rate,loan_term,employment_status,employment_duration,marital_status,dependents,education_level,residential_status,years_at_residence,bank_account_age,previous_defaults,default
A1020,61,15797.54,1630.12,79710.5,19294.48,3687.11,31177.98,32559.24,3539.99,2020-01-21,Education,IL,West Jamie,684.0,487351.43,0.1757,24,Employed,15,Married,0,High School,Rented,19,19,1,0
A1021,47,16358.65,3227.67,32793.87,49096.01,4641.08,39554.59,88254.71,4345.23,2020-01-22,Education,NY,Youngport,463.0,135971.95,0.0449,36,Employed,18,Single,0,High School,Rented,20,19,2,0
A1022,55,4338.14,655.28,35730.95,44985.4,7059.35,12510.31,50437.26,663.09,2020-01-23,Car,IL,Port Brianshire,617.0,185952.06,0.0402,12,Employed,4,Married,1,Bachelors,Owned,20,15,0,0
A1023,19,8281.2,3583.31,33600.62,9740.53,5391.09,35857.32,80446.32,3801.35,2020-01-24,Car,TX,North Lisa,414.0,240818.01,0.16,24,Employed,9,Single,4,Masters,Rented,8,0,0,1
A1024,38,8407.03,4902.96,49873.93,25256.11,16067.12,5883.04,92458.21,4133.87,2020-01-25,Personal,TX,East Albertside,576.0,164235.78,0.1727,24,Unemployed,13,Married,3,Masters,Owned,9,5,1,0
A1025,50,4301.09,4022.79,70249.96,30090.21,10005.49,35211.76,34100.61,1453.23,2020-01-26,Home,TX,Julieland,826.0,141394.99,0.1077,12,Employed,4,Single,2,Bachelors,Rented,6,10,0,0
A1026,29,16271.39,4300.08,77186.31,40948.03,5572.4,45964.78,88153.84,3589.32,2020-01-27,Personal,IL,Moyerfort,349.0,237878.54,0.14,60,Employed,14,Married,0,PhD,Owned,11,19,1,0
A1027,39,14583.72,1798.18,39257.07,44282.14,6261.92,4251.31,72901.61,574.1,2020-01-28,Home,TX,New Regina,864.0,409138.99,0.052,48,Employed,7,Single,0,Masters,Owned,23,7,1,0
A1028,61,5022.06,1624.43,66310.2,31200.9,797.3,5835.14,11709.27,3281.14,2020-01-29,Car,NY,South Julieview,422.0,387988.1,0.1314,36,Employed,18,Single,4,PhD,Rented,6,17,2,0
A1029,42,8284.36,2585.24,72068.43,1756.71,987.84,27861.37,11288.07,2600.61,2020-01-30,Education,TX,South Roger,497.0,224942.21,0.0318,48,Employed,11,Married,0,Bachelors,Owned,14,6,1,0
A1030,66,3457.39,228.63,29691.73,24063.82,14358.15,2320.02,81917.19,4264.28,2020-01-31,Car,FL,East Megan,711.0,159915.38,0.0813,36,Self-Employed,18,Married,1,Masters,Rented,7,15,0,1
A1031,44,13121.82,4726.79,9662.15,44240.18,2258.22,9369.53,47363.29,2314.64,2020-02-01,Car,IL,Lake Steventown,444.0,70052.04,0.0336,48,Employed,2,Married,0,High School,Owned,13,11,0,1
A1032,59,3745.38,718.93,89466.57,35704.48,9515.94,9509.61,50019.88,2197.67,2020-02-02,Car,IL,South Larry,676.0,435496.96,0.0761,48,Employed,3,Divorced,2,Bachelors,Rented,6,7,0,0
A1033,45,19739.78,4515.07,67711.6,43507.1,16847.31,24062.37,89233.41,4675.55,2020-02-03,Home,IL,Lake Rachel,554.0,443515.26,0.0339,60,Employed,16,Single,2,Bachelors,Owned,4,17,1,0
A1034,33,15942.62,417.91,64811.04,33703.99,7369.07,12424.35,90476.53,4677.91,2020-02-04,Education,IL,East Erin,917.0,38036.04,0.1899,60,Employed,13,Single,1,Bachelors,Rented,26,12,1,0
A1035,32,8719.41,4113.12,5890.25,2201.75,6915.04,23776.14,12157.89,274.99,2020-02-05,Personal,CA,Dyerview,793.0,375582.4,0.1801,12,Employed,2,Divorced,3,Bachelors,Owned,7,3,0,0
A1036,64,12203.43,759.81,81787.31,48400.33,17460.97,26058.79,37991.18,2479.27,2020-02-06,Home,TX,Christopherhaven,357.0,442525.28,0.065,24,Employed,6,Married,4,Bachelors,Rented,7,2,2,0
A1037,68,18359.82,190.66,56605.42,45900.93,17297.01,36532.22,89627.45,888.69,2020-02-07,Home,FL,Dunnberg,593.0,369514.65,0.1859,60,Employed,9,Divorced,3,PhD,Owned,6,17,1,1
A1038,61,11750.84,3597.45,84788.44,6328.98,17602.74,47299.61,82165.58,1441.16,2020-02-08,Car,FL,Howellburgh,491.0,173116.0,0.1823,36,Employed,2,Married,1,PhD,Owned,24,7,0,0
A1039,69,4728.22,1401.33,97456.12,5634.56,11438.28,25187.36,72379.87,3364.09,2020-02-09,Car,IL,West Stevenland,763.0,217329.64,0.0671,36,Self-Employed,9,Single,3,Bachelors,Rented,9,18,0,0
A1040,20,8506.01,3572.48,95710.03,26953.93,19046.09,17750.27,11094.75,733.51,2020-02-10,Home,FL,Whiteside,985.0,153790.37,0.1444,48,Employed,2,Married,0,Masters,Mortgaged,10,19,2,0
A1041,54,17098.18,2775.43,85608.93,37852.54,16379.28,12935.17,62498.26,155.23,2020-02-11,Personal,TX,West Rhondaland,618.0,273644.73,0.0618,24,Employed,18,Single,2,Masters,Owned,17,12,0,1
A1042,68,13417.94,544.04,1094.74,19108.66,8312.69,31732.86,58603.29,3662.91,2020-02-12,Car,NY,Rogersland,855.0,445497.82,0.1459,48,Self-Employed,15,Single,4,High School,Rented,17,5,1,0
A1043,24,13538.4,4660.65,88572.72,6819.11,12591.1,47145.86,17549.54,3242.59,2020-02-13,Education,FL,Lake Christopher,851.0,337333.97,0.0408,24,Employed,5,Married,1,Masters,Rented,9,9,0,0
A1044,38,17536.2,2261.57,7506.23,25527.8,2435.78,38232.75,77612.02,4523.05,2020-02-14,Home,CA,Lake Josetown,310.0,231866.92,0.1761,48,Employed,0,Married,0,High School,Owned,19,18,0,0
A1045,26,18038.5,3672.24,85119.4,16878.31,11026.64,10305.13,31885.72,2757.32,2020-02-15,Car,IL,Jerryburgh,904.0,430864.86,0.1703,24,Employed,15,Divorced,3,Masters,Rented,23,0,0,0
A1046,56,18516.16,2505.1,28017.41,17588.6,5262.98,44665.21,62441.95,4732.12,2020-02-16,Home,NY,Lake Jenniferport,682.0,5444.59,0.0592,60,Self-Employed,18,Married,4,Masters,Rented,28,14,1,0
A1047,35,3254.71,3021.81,61006.83,32249.28,5670.94,36775.67,36821.71,3085.64,2020-02-17,Education,NY,Rogersmouth,777.0,140879.11,0.1048,60,Employed,11,Married,2,Bachelors,Owned,1,0,1,0
A1048,21,11566.33,1513.87,3806.82,44280.4,2514.36,6397.24,9355.13,1997.04,2020-02-18,Home,IL,Colemanburgh,313.0,220779.69,0.0732,60,Employed,4,Single,3,Bachelors,Rented,24,0,2,0
A1049,42,15199.43,1001.8,77118.17,27929.59,7163.98,35640.12,52954.69,3081.47,2020-02-19,Home,IL,North David,513.0,298288.9,0.051,60,Employed,10,Single,4,Masters,Mortgaged,4,1,1,0
A1050,31,15503.15,2712.85,11170.61,34380.13,9627.81,14467.77,31357.67,3770.98,2020-02-20,Home,FL,South Shawnberg,643.0,497820.24,0.0323,12,Unemployed,12,Married,0,Masters,Owned,1,2,1,0
A1051,67,12724.25,2201.09,41068.82,32997.35,12007.09,24569.83,8059.99,1802.95,2020-02-21,Car,IL,Amberberg,364.0,321569.41,0.0815,36,Self-Employed,16,Married,2,Bachelors,Rented,29,13,2,0
A1052,26,4585.57,1950.57,81744.6,27557.31,6097.39,15011.57,20652.38,1925.37,2020-02-22,Home,CA,Jamesberg,510.0,193862.79,0.1896,60,Employed,8,Married,3,Bachelors,Owned,12,17,1,0
A1053,43,16252.28,3362.84,69534.9,15537.91,15844.96,4202.96,62266.72,3186.69,2020-02-23,Personal,TX,Lake April,441.0,363812.55,0.181,60,Employed,18,Single,3,Bachelors,Owned,12,14,0,0
A1054,19,14822.06,3452.53,604.27,18889.71,10419.2,38429.18,11036.82,2332.4,2020-02-24,Personal,NY,South Davidmouth,560.0,492155.22,0.1038,12,Employed,12,Married,1,Bachelors,Rented,3,1,1,0
A1055,37,3093.51,229.6,40303.23,15785.19,12761.04,41434.19,9659.17,2682.17,2020-02-25,Car,IL,Lake Brenda,660.0,307572.34,0.0791,36,Employed,2,Divorced,1,PhD,Rented,3,2,2,0
A1056,45,10080.48,1693.72,4192.75,45874.9,5562.87,11598.95,94458.14,4912.2,2020-02-26,Car,FL,New Kimberly,682.0,179082.21,0.0823,48,Self-Employed,5,Single,0,Bachelors,Rented,5,1,2,0
A1057,64,4718.58,2058.82,67349.99,41330.93,16282.72,11981.91,11644.81,314.5,2020-02-27,Home,IL,Reyesburgh,739.0,342669.07,0.1501,36,Unemployed,8,Married,1,Bachelors,Owned,2,2,0,0
A1058,24,7743.33,484.46,96894.85,28967.37,12485.49,21497.89,38229.91,3274.71,2020-02-28,Home,CA,Lake Davidland,367.0,234732.76,0.0752,24,Employed,8,Married,1,PhD,Mortgaged,23,6,0,0
A1059,61,1834.5,1179.5,65526.13,45612.17,17246.97,40573.47,14207.68,4622.14,2020-02-29,Personal,IL,North Dianaton,624.0,270203.85,0.1704,48,Unemployed,19,Single,4,High School,Owned,5,16,0,0
A1060,25,8906.1,258.21,22437.24,44320.43,3199.03,3863.4,93987.64,1257.44,2020-03-01,Home,CA,North Thomas,622.0,477903.59,0.091,48,Employed,18,Single,0,Bachelors,Rented,5,17,0,0
A1061,64,11672.72,4981.21,35523.3,46384.72,7613.27,40435.57,48634.98,1138.94,2020-03-02,Personal,IL,North Derek,604.0,221116.27,0.0415,24,Self-Employed,1,Divorced,0,Masters,Owned,29,11,0,0
A1062,52,12962.28,3682.79,97665.06,11088.69,2260.32,46136.15,12000.8,1878.69,2020-03-03,Home,TX,South Lawrenceport,392.0,160295.55,0.0507,60,Employed,2,Married,4,Masters,Rented,20,10,0,0
A1063,31,13774.57,437.25,22405.24,35875.15,4310.55,28075.21,77112.83,462.98,2020-03-04,Home,FL,North Anneside,593.0,319195.62,0.161,36,Unemployed,8,Single,1,High School,Owned,9,11,0,0
A1064,34,16971.39,101.25,56152.91,30461.22,7890.95,3019.57,78297.87,2845.4,2020-03-05,Personal,CA,Port Michaelfurt,603.0,286330.96,0.161,24,Employed,18,Single,3,Bachelors,Owned,21,3,0,0
A1065,53,5486.06,3596.44,40045.38,36691.53,17891.64,13477.64,90218.75,3262.75,2020-03-06,Home,IL,Baileyhaven,329.0,201680.77,0.0975,36,Unemployed,2,Divorced,2,High School,Owned,23,2,1,1
A1066,67,3728.91,2195.96,76831.53,13168.97,11140.81,5569.32,70859.88,4117.45,2020-03-07,Personal,NY,Port Jasmine,926.0,154860.13,0.1992,48,Employed,1,Single,0,High School,Owned,15,7,1,0
A1067,57,17253.44,3933.98,86738.93,34740.45,6607.57,12964.18,6416.91,424.26,2020-03-08,Home,CA,Rickyhaven,705.0,264969.73,0.0673,48,Employed,12,Married,2,Bachelors,Owned,7,19,1,0
A1068,21,4397.34,4617.38,34083.73,20491.43,14937.98,40589.1,55480.84,2237.31,2020-03-09,Car,TX,East Katelynstad,981.0,85912.24,0.0634,60,Employed,16,Single,4,High School,Rented,12,3,1,0
A1069,19,19533.06,2996.5,66039.64,41704.59,393.65,2783.39,39019.95,3942.61,2020-03-10,Education,TX,Fisherburgh,745.0,137590.19,0.1196,60,Employed,1,Married,1,Masters,Owned,16,9,1,0
A1070,23,17086.96,935.54,54904.77,39768.29,7401.84,14191.18,75109.52,3864.68,2020-03-11,Education,NY,South Stefanie,,426073.48,0.1244,24,Employed,1,Married,1,Masters,Rented,6,0,0,0
A1071,59,10766.22,3910.97,27844.45,10567.88,12016.63,25847.54,59501.97,460.84,2020-03-12,Education,IL,Port Jasonville,451.0,455017.63,0.1013,36,Self-Employed,9,Married,2,Bachelors,Rented,1,7,2,0
A1072,21,19656.3,4779.06,27194.08,9192.76,11664.75,43702.05,72794.85,155.84,2020-03-13,Education,IL,Shellyburgh,310.0,199684.53,0.128,60,Employed,15,Single,2,Masters,Owned,6,16,0,0
A1073,46,3301.47,2901.16,53863.16,35886.59,12151.16,12499.11,18863.95,3938.31,2020-03-14,Car,IL,Romanport,668.0,417907.5,0.1819,36,Employed,12,Married,1,Bachelors,Owned,10,16,0,1
A1074,35,7106.72,3409.99,15400.29,27523.74,4230.02,38916.36,44270.03,776.09,2020-03-15,Personal,IL,Lake Ryan,768.0,56080.49,0.1091,12,Employed,7,Single,1,PhD,Mortgaged,2,18,2,0
A1075,43,13307.15,1687.37,81080.99,27860.3,6741.58,29178.45,43778.33,2931.17,2020-03-16,Education,IL,Markmouth,931.0,112055.5,0.1993,24,Employed,17,Single,0,Bachelors,Rented,22,3,1,0
A1076,61,7975.13,1907.64,6900.48,37625.77,18631.31,33818.47,98116.49,561.81,2020-03-17,Home,NY,Holmesport,641.0,300319.17,0.1912,36,Employed,10,Married,4,Masters,Owned,28,10,1,0
A1077,51,18674.89,3673.27,9457.45,42748.54,19479.51,43088.43,2891.91,1548.0,2020-03-18,Car,TX,Greenmouth,970.0,340563.23,0.15,60,Employed,8,Divorced,0,High School,Owned,0,10,0,0
A1078,27,2714.08,4638.86,34222.63,11948.2,6240.77,1320.78,81788.25,874.38,2020-03-19,Education,NY,Kochburgh,742.0,129623.56,0.1498,60,Employed,1,Single,2,Masters,Owned,14,2,1,0
A1079,53,11664.12,3144.94,11809.18,27776.98,12890.07,26486.67,10614.05,3708.33,2020-03-20,Education,FL,North Carmen,467.0,470168.29,0.1533,36,Unemployed,4,Single,1,High School,Rented,24,9,1,0
A1080,31,12431.03,3949.24,47570.0,41447.74,4825.94,37360.71,8957.43,3396.35,2020-03-21,Education,FL,Lake Charles,942.0,313611.81,0.1764,48,Self-Employed,9,Married,2,Bachelors,Rented,10,19,1,1
A1081,48,13575.47,858.18,39967.59,43639.71,7370.57,44230.15,33489.47,763.0,2020-03-22,Education,CA,Davisside,529.0,461125.14,0.1711,12,Employed,5,Married,2,Masters,Rented,15,2,0,1
A1082,65,6229.83,1059.8,72180.98,14370.47,15846.69,6634.71,70375.92,390.72,2020-03-23,Education,IL,Elizabethborough,388.0,57400.57,0.1523,24,Employed,18,Married,2,Masters,Rented,14,15,2,0
A1083,32,8244.48,2660.17,95300.42,5207.69,10023.57,17072.58,68166.19,2385.04,2020-03-24,Education,TX,Ashleyport,597.0,293767.1,0.1687,36,Employed,19,Single,4,Bachelors,Owned,26,9,1,0
A1084,25,17108.09,882.77,75355.86,11641.16,16991.8,3927.79,63160.18,1058.18,2020-03-25,Car,CA,Samanthamouth,755.0,174189.17,0.1031,60,Employed,13,Married,0,High School,Rented,3,19,1,0
A1085,31,5106.44,3174.98,17944.87,47274.98,12574.8,41746.7,77680.56,139.9,2020-03-26,Home,FL,Maryburgh,550.0,433964.84,0.1146,24,Employed,15,Single,0,Bachelors,Rented,4,18,1,0
A1086,40,16797.06,1458.27,93552.13,23123.99,12578.42,42868.32,24005.43,1394.94,2020-03-27,Education,CA,Travisland,707.0,11620.88,0.1821,36,Employed,11,Married,0,Bachelors,Owned,22,19,0,0
A1087,57,11909.13,3957.66,39213.34,20928.69,677.6,24179.27,63750.6,1154.69,2020-03-28,Personal,FL,Dennismouth,596.0,384725.53,0.0456,60,Employed,17,Single,0,High School,Rented,26,6,1,0
A1088,38,15600.47,4040.55,47418.94,654.22,14993.41,1039.76,64165.72,3456.3,2020-03-29,Education,FL,East George,412.0,86213.25,0.1619,12,Employed,15,Married,4,Bachelors,Rented,7,6,1,0
A1089,33,14701.74,2318.94,42157.62,2550.73,19557.33,5109.91,65779.22,4318.23,2020-03-30,Education,NY,Marshallchester,389.0,445566.76,0.1441,36,Employed,1,Married,1,High School,Rented,28,9,2,0
A1090,62,5338.96,904.05,28054.7,33434.8,9460.57,31217.91,59850.91,1264.43,2020-03-31,Car,CA,Lake Jasonfort,845.0,233861.52,0.0553,36,Employed,13,Married,0,Bachelors,Rented,24,7,1,0
A1091,35,12023.04,3233.87,89504.43,29491.35,3171.6,49130.96,22930.77,1192.93,2020-04-01,Education,FL,South Brian,627.0,90225.31,0.1009,24,Unemployed,0,Single,4,High School,Rented,12,12,0,0
A1092,64,17552.88,4963.94,33223.89,28776.41,19539.55,41943.2,91515.59,2000.06,2020-04-02,Car,TX,North Julie,912.0,409845.85,0.1538,24,Employed,5,Single,2,High School,Rented,7,4,1,0
A1093,41,9494.15,3112.95,57859.65,5516.14,5802.52,39896.11,97624.46,945.53,2020-04-03,Car,FL,South Manuel,923.0,254061.51,0.1531,60,Self-Employed,11,Married,3,Bachelors,Owned,26,7,0,0
A1094,43,19381.93,178.87,24003.36,17603.06,8183.96,20898.49,69229.48,4739.39,2020-04-04,Home,NY,Ericside,701.0,35458.01,0.1475,48,Employed,19,Single,3,Bachelors,Rented,5,1,2,0
A1095,42,9865.98,86.47,79737.54,40617.91,1547.33,49260.61,44963.89,1293.28,2020-04-05,Car,CA,Lake Brianshire,589.0,21199.48,0.0565,12,Employed,6,Married,4,Bachelors,Rented,10,8,2,0
A1096,62,4141.53,1601.81,77419.87,8745.56,2216.74,41248.64,54181.89,557.31,2020-04-06,Home,FL,Port Margaretmouth,967.0,130535.2,0.1622,60,Employed,3,Married,4,High School,Rented,21,2,2,0
A1097,58,8704.54,978.92,29631.21,44134.36,4331.31,16782.64,11728.78,2828.76,2020-04-07,Personal,IL,North Elizabeth,537.0,358247.34,0.0525,60,Employed,0,Married,1,Masters,Rented,11,11,1,0
A1098,46,19106.49,4065.26,68155.41,6073.92,10969.32,37424.55,36976.19,2734.34,2020-04-08,Education,IL,North Jacquelineport,795.0,219957.38,0.1968,24,Employed,19,Divorced,3,Bachelors,Owned,18,19,0,0
A1099,32,7414.84,4224.03,70387.35,8457.47,11155.78,21626.15,97637.3,3196.38,2020-04-09,Education,FL,Clarkview,721.0,265517.81,0.0564,60,Employed,0,Married,1,High School,Owned,8,14,1,0
A1100,62,17559.82,1293.09,56251.14,23887.5,12124.88,33022.78,55224.5,4836.84,2020-04-10,Personal,CA,North Davidton,669.0,72388.88,0.1308,12,Self-Employed,13,Married,2,Masters,Owned,21,3,1,0
A1101,18,17803.14,1628.22,60059.84,47265.0,11676.34,48502.69,56502.13,1685.09,2020-04-11,Education,NY,Daniellebury,368.0,361529.54,0.1618,36,Employed,19,Married,2,Masters,Rented,2,11,1,0
A1102,42,7978.45,1181.23,57445.46,16477.38,9904.74,12322.58,95444.01,1861.9,2020-04-12,Education,TX,North Yvette,676.0,183823.09,0.0313,48,Employed,5,Single,0,High School,Owned,0,16,0,0
A1103,24,3040.27,4541.91,8186.44,32910.9,16041.97,39750.11,88749.06,1751.5,2020-04-13,Car,CA,Smithview,456.0,170749.4,0.1524,48,Employed,10,Single,0,High School,Rented,7,12,2,0
A1104,26,14904.32,2513.25,67026.53,29433.56,18677.99,29518.72,57302.92,3180.29,2020-04-14,Home,NY,New Samantha,463.0,293021.23,0.0681,36,Self-Employed,4,Single,4,Masters,Owned,11,18,2,0
A1105,41,7262.98,3280.69,46977.5,7481.13,5395.23,47498.55,27630.09,3059.94,2020-04-15,Car,FL,West Derek,854.0,383915.32,0.0607,24,Self-Employed,3,Single,0,Bachelors,Owned,11,6,0,0
A1106,18,15984.09,2077.41,43845.73,12408.35,2603.87,6723.17,12576.21,2691.15,2020-04-16,Education,TX,Lake Daleside,305.0,16954.94,0.0426,60,Employed,18,Married,1,Bachelors,Rented,29,16,1,1
A1107,61,9689.11,3155.07,85999.92,46507.64,8501.75,35985.47,86501.49,1885.2,2020-04-17,Car,CA,Lake Barbaraview,351.0,29248.48,0.0625,48,Employed,2,Single,1,High School,Owned,12,15,0,1
A1108,25,10477.43,1929.28,2322.67,9241.48,528.45,1857.66,92089.06,2195.48,2020-04-18,Personal,FL,Briannaburgh,778.0,52533.37,0.1337,24,Employed,6,Married,0,Masters,Owned,28,2,2,0
A1109,41,15891.32,1698.39,25131.49,34750.49,17666.38,12327.67,49934.21,3983.29,2020-04-19,Education,TX,Brookefurt,419.0,423814.56,0.1998,60,Employed,1,Married,3,High School,Owned,0,4,2,1
A1110,28,8573.72,3172.4,12140.35,48234.72,4794.13,16042.73,10360.31,3085.31,2020-04-20,Personal,FL,Lake Timothyview,921.0,428409.52,0.1265,48,Self-Employed,0,Married,4,PhD,Owned,26,14,2,0
A1111,68,9697.86,2955.31,3534.1,5975.3,10985.93,21612.79,61016.25,3609.91,2020-04-21,Home,IL,Jasonstad,441.0,321009.25,0.1328,48,Unemployed,0,Divorced,3,PhD,Owned,7,17,1,0
A1112,34,8459.52,1467.64,27567.7,19959.1,2301.9,48265.0,37378.68,1455.98,2020-04-22,Car,IL,Raymondtown,668.0,27709.7,0.0962,36,Unemployed,6,Single,1,Bachelors,Rented,7,2,2,0
A1113,25,8295.8,746.74,98847.63,11196.61,11065.15,3380.07,16628.21,4566.31,2020-04-23,Home,NY,Port Tonyshire,793.0,376712.25,0.0364,24,Self-Employed,1,Divorced,1,Bachelors,Rented,8,15,2,0
A1114,52,11230.01,1842.88,27022.92,11078.08,779.87,8449.14,91995.2,272.3,2020-04-24,Car,TX,Crawfordside,901.0,434514.7,0.1544,12,Employed,11,Married,3,Bachelors,Owned,26,0,2,0
A1115,52,16462.79,2075.99,66370.58,5949.29,15376.13,10152.36,24705.46,3018.91,2020-04-25,Home,IL,Port Haley,728.0,458099.48,0.0433,48,Self-Employed,15,Married,4,Masters,Rented,29,12,2,0
A1116,50,8192.71,3143.42,11829.89,32477.56,19108.43,21199.84,71404.99,4080.52,2020-04-26,Personal,FL,Paulbury,423.0,402218.43,0.1522,60,Employed,14,Single,2,High School,Rented,11,14,2,0
A1117,22,11198.71,4572.64,60184.76,37317.18,6139.52,3034.99,43508.41,4344.8,2020-04-27,Personal,NY,Lake Nicoleville,693.0,227016.59,0.1718,24,Employed,0,Single,0,Masters,Rented,29,4,2,0
A1118,59,13908.46,180.92,98448.15,33839.7,5164.29,48270.98,82964.17,1665.8,2020-04-28,Car,IL,Carolinehaven,569.0,232085.77,0.068,48,Employed,6,Divorced,4,PhD,Rented,12,1,1,1
A1119,56,6484.63,1218.31,29183.75,46232.82,8959.9,27992.58,70382.66,2352.78,2020-04-29,Car,NY,Lake Ralph,404.0,251060.34,0.1619,12,Unemployed,0,Single,1,Bachelors,Owned,4,6,2,0
A1120,58,6634.17,968.58,84807.56,7283.94,12399.47,40664.35,13192.84,270.96,2020-04-30,Education,TX,Brooksfurt,680.0,239559.85,0.1851,12,Unemployed,8,Married,2,High School,Rented,27,15,0,0
A1121,45,18768.14,2511.47,99757.14,15992.27,3779.25,38624.92,45511.56,3969.85,2020-05-01,Car,IL,New Tracy,469.0,259554.1,0.1248,48,Self-Employed,8,Divorced,0,High School,Mortgaged,18,9,2,0
A1122,24,14885.39,2148.5,58855.41,17228.64,16066.16,33041.26,26719.07,710.4,2020-05-02,Personal,IL,Phillipsborough,876.0,45351.21,0.1026,36,Employed,1,Married,0,Masters,Mortgaged,2,4,2,0
A1123,26,12177.95,3645.19,30940.11,11604.11,3970.7,45220.47,71644.86,2197.6,2020-05-03,Home,CA,Port Carol,426.0,408242.91,0.1238,48,Employed,16,Married,4,PhD,Rented,21,19,2,0
